valorPagoEmpenho,log_target,log_valorEmpenhado,log_saldoAPagar,n_pagamentos,ano_empenho,mes_empenho,trimestre,trim_2,trim_3,trim_4,elemento_cat,tipo_empenho,log_target_bc,lambda_boxcox
26787.52,10.195728716518406,10.195728716518406,0.0,2,2012,1,1,0,0,0,Aplicacoes Diretas,Ordinário,14.060529898682748,1.2623624248939125
37.77,3.657646751682838,6.159412462954242,6.0762192129727906,1,2012,7,3,0,1,0,Aplicacoes Diretas,Ordinário,3.2795804873065206,1.2623624248939125
4882.73,8.493664551147177,8.493664551147177,0.0,1,2012,8,3,0,1,0,Aplicacoes Diretas,Ordinário,11.002094286932856,1.2623624248939125
925.63,6.831554348888401,6.831554348888401,0.0,1,2012,9,3,0,1,0,Aplicacoes Diretas,Ordinário,8.167298612224918,1.2623624248939125
102.24,4.637056374850413,4.637056374850413,0.0,1,2012,7,3,0,1,0,Aplicacoes Diretas,Ordinário,4.70141230486244,1.2623624248939125
27848.66,10.23457603702238,10.23457603702238,0.0,2,2012,10,4,0,0,1,Aplicacoes Diretas,Ordinário,14.13200403959051,1.2623624248939125
4404.05,8.390506889043658,8.390506889043658,0.0,1,2012,1,1,0,0,0,Aplicacoes Diretas,Ordinário,10.821557140776576,1.2623624248939125
29105.89,10.278730194893498,10.278730194893498,0.0,2,2012,7,3,0,1,0,Aplicacoes Diretas,Ordinário,14.21332854669798,1.2623624248939125
538.99,6.291550620868332,6.291550620868332,0.0,1,2012,8,3,0,1,0,Aplicacoes Diretas,Ordinário,7.2827435681682635,1.2623624248939125
4570.3,8.427552907331036,8.427552907331036,0.0,1,2012,2,1,0,0,0,Aplicacoes Diretas,Ordinário,10.886325074884004,1.2623624248939125
30936.71,10.339731107166797,10.339731107166797,0.0,2,2012,9,3,0,1,0,Aplicacoes Diretas,Ordinário,14.325832738698503,1.2623624248939125
4395.78,8.388627733814893,8.388627733814893,0.0,1,2012,3,1,0,0,0,Aplicacoes Diretas,Ordinário,10.818273790565396,1.2623624248939125
324.67,5.785884598736826,5.785884598736826,0.0,1,2012,3,1,0,0,0,Aplicacoes Diretas,Ordinário,6.472286981089241,1.2623624248939125
4976.62,8.512707144135943,8.512707144135943,0.0,1,2012,7,3,0,1,0,Aplicacoes Diretas,Ordinário,11.035484052424051,1.2623624248939125
25564.94,10.14901627585828,10.14901627585828,0.0,2,2012,11,4,0,0,1,Aplicacoes Diretas,Ordinário,13.974679516863887,1.2623624248939125
1238.0,7.122059881629142,7.122059881629142,0.0,2,2012,12,4,0,0,1,Aplicacoes Diretas,Ordinário,8.650905143493429,1.2623624248939125
18.8,2.9856819377004897,2.9856819377004897,0.0,1,2012,2,1,0,0,0,Aplicacoes Diretas,Ordinário,2.359158470514205,1.2623624248939125
13851.13,9.536194290404639,9.536194290404639,0.0,1,2012,6,2,1,0,0,Aplicacoes Diretas,Ordinário,12.858136334054956,1.2623624248939125
441.36,6.0921240302071595,6.0921240302071595,0.0,2,2012,7,3,0,1,0,Aplicacoes Diretas,Ordinário,6.960990182335512,1.2623624248939125
29183.21,10.281383088571854,10.281383088571854,0.0,2,2012,8,3,0,1,0,Aplicacoes Diretas,Ordinário,14.218217652548457,1.2623624248939125
26912.86,10.200396674534224,10.200396674534224,0.0,2,2012,3,1,0,0,0,Aplicacoes Diretas,Ordinário,14.06911457814578,1.2623624248939125
743.16,6.612256065475787,6.612256065475787,0.0,1,2012,11,4,0,0,1,Aplicacoes Diretas,Ordinário,7.805776876925226,1.2623624248939125
30463.33,10.324311769990404,10.324311769990404,0.0,2,2012,4,2,1,0,0,Aplicacoes Diretas,Ordinário,14.297378313840234,1.2623624248939125
4899.53,8.4970986415148,8.4970986415148,0.0,1,2012,6,2,1,0,0,Aplicacoes Diretas,Ordinário,11.008114257880242,1.2623624248939125
806.31,6.69370773329316,6.69370773329316,0.0,1,2012,10,4,0,0,1,Aplicacoes Diretas,Ordinário,7.939691505066091,1.2623624248939125
28745.5,10.266271299684252,10.266271299684252,0.0,2,2012,2,1,0,0,0,Aplicacoes Diretas,Ordinário,14.190372064203993,1.2623624248939125
29964.77,10.30781100920822,10.30781100920822,0.0,2,2012,6,2,1,0,0,Aplicacoes Diretas,Ordinário,14.266940607099198,1.2623624248939125
1053.03,6.960376191694347,6.960376191694347,0.0,1,2012,6,2,1,0,0,Aplicacoes Diretas,Ordinário,8.381096849527776,1.2623624248939125
1052.99,6.960338241390265,6.960338241390265,0.0,1,2012,7,3,0,1,0,Aplicacoes Diretas,Ordinário,8.381033711630923,1.2623624248939125
960.12,6.868099271101851,6.868099271101851,0.0,1,2012,9,3,0,1,0,Aplicacoes Diretas,Ordinário,8.22784355402581,1.2623624248939125
26020.9,10.166693770153877,10.166693770153877,0.0,2,2012,12,4,0,0,1,Aplicacoes Diretas,Ordinário,14.007155904159841,1.2623624248939125
743.16,6.612256065475787,6.612256065475787,0.0,1,2012,12,4,0,0,1,Aplicacoes Diretas,Ordinário,7.805776876925226,1.2623624248939125
86.89,4.4760860325765535,4.4760860325765535,0.0,2,2012,3,1,0,0,0,Aplicacoes Diretas,Ordinário,4.461781083252145,1.2623624248939125
