variavel,correlacao,abs_corr,selecionada_acima_0_3
log_valorLiquidado,0.9969,0.9969,True
log_valorEmpenhado,0.9966,0.9966,True
te_uniEle_mean,0.4464,0.4464,True
te_orgProgEle_mean,0.4278,0.4278,True
te_progEle_mean,0.4243,0.4243,True
te_uniEle_median,0.4178,0.4178,True
te_orgProgEle_median,0.4079,0.4079,True
te_progEle_median,0.4051,0.4051,True
te_orgEle_mean,0.3991,0.3991,True
te_funEle_mean,0.3955,0.3955,True
te_subEle_mean,0.3908,0.3908,True
te_orgEle_median,0.3823,0.3823,True
te_funEle_median,0.3807,0.3807,True
te_subEle_median,0.3729,0.3729,True
te_elemento_mean,0.3392,0.3392,True
te_elemento_median,0.3317,0.3317,True
te_unidade_mean,0.2217,0.2217,False
n_pagamentos,0.1607,0.1607,False
te_funcao_mean,0.1552,0.1552,False
te_orgao_mean,0.1523,0.1523,False
dia_mes,0.1116,0.1116,False
enc_descricaoElemento,0.0723,0.0723,False
n_liquidacoes,0.0636,0.0636,False
n_docfiscais,0.0633,0.0633,False
enc_descricaoOrgao,0.0573,0.0573,False
enc_tipoEmpenho,-0.045,0.045,False
log_saldoAPagar,-0.0315,0.0315,False
fim_ano,0.0245,0.0245,False
trimestre,0.0204,0.0204,False
tx_anulacao,-0.015,0.015,False
mes_empenho,0.0139,0.0139,False
log_saldoALiquidar,0.0123,0.0123,False
dia_semana,0.0111,0.0111,False
inicio_ano,0.0104,0.0104,False
tx_restos,-0.0104,0.0104,False
ano_empenho,-0.0067,0.0067,False
